playoff_round,round_name,conference,slot,away,home,away_wins,home_wins,projected_winner,away_series_win_prob,home_series_win_prob,avg_remaining_games,projected_avg_games_in_series,projected_mean_games_in_series,projected_rounded_games_in_series,prob_series_goes_seven,projected_total_goals_series,projected_goals_per_game
4,Stanley Cup Final,,SCF,PIT,LAK,0,0,PIT,0.8816666666666667,0.11833333333333329,5.39,5.39,5.39,5,0.1767,38.4,7.13
4,Stanley Cup Final,,SCF,PIT,MIN,0,0,PIT,0.5125,0.48750000000000004,5.92,5.92,5.92,6,0.3475,42.7,7.22
4,Stanley Cup Final,,SCF,PIT,UTA,0,0,PIT,0.9208333333333333,0.07916666666666672,5.21,5.21,5.21,5,0.1342,42.3,8.11
4,Stanley Cup Final,,SCF,PIT,VGK,0,0,PIT,0.6783333333333333,0.32166666666666666,5.71,5.71,5.71,6,0.2833,41.0,7.17
4,Stanley Cup Final,,SCF,TBL,ANA,0,0,TBL,0.66,0.33999999999999997,5.83,5.83,5.83,6,0.2892,45.5,7.8
4,Stanley Cup Final,,SCF,TBL,COL,0,0,TBL,0.545,0.45499999999999996,5.88,5.88,5.88,6,0.33,40.2,6.84
4,Stanley Cup Final,,SCF,TBL,DAL,0,0,TBL,0.8375,0.16249999999999998,5.46,5.46,5.46,5,0.2058,36.8,6.74
4,Stanley Cup Final,,SCF,TBL,EDM,0,0,TBL,0.9708333333333333,0.029166666666666674,4.91,4.91,4.91,5,0.0783,36.8,7.5
4,Stanley Cup Final,,SCF,TBL,LAK,0,0,TBL,0.9958333333333333,0.004166666666666652,4.62,4.62,4.62,5,0.0283,30.8,6.66
4,Stanley Cup Final,,SCF,TBL,MIN,0,0,TBL,0.9258333333333333,0.07416666666666671,5.28,5.28,5.28,5,0.1633,38.0,7.21
4,Stanley Cup Final,,SCF,TBL,UTA,0,0,TBL,0.9358333333333333,0.0641666666666667,5.2,5.2,5.2,5,0.1342,34.5,6.65
4,Stanley Cup Final,,SCF,TBL,VGK,0,0,TBL,0.9766666666666667,0.023333333333333317,4.82,4.82,4.82,5,0.0608,31.0,6.43
